controller,metric,mean,p10,p50,p90
naive,methane_total_kg,3791.735607,2070.079933,4190.010961,5406.975423
naive,curtailment_fraction,0.783852,0.705701,0.781202,0.857722
naive,downtime_hours,0.000000,0.000000,0.000000,0.000000
naive,survival_score,0.581826,0.548408,0.574627,0.619354
naive,availability,1.000000,1.000000,1.000000,1.000000
naive,min_soc,0.482431,0.406104,0.460786,0.571048
naive,fault_production_ratio,0.145352,0.000000,0.000000,0.413969
naive,soh_loss,0.001663,0.001257,0.001691,0.002060
rules,methane_total_kg,13872.152044,6619.684556,15051.797815,18265.559007
rules,curtailment_fraction,0.000000,0.000000,0.000000,0.000000
rules,downtime_hours,61.625000,46.800000,64.000000,73.600000
rules,survival_score,0.608086,0.497930,0.630252,0.676221
rules,availability,0.743229,0.693333,0.733333,0.805000
rules,min_soc,0.100000,0.100000,0.100000,0.100000
rules,fault_production_ratio,0.873170,0.548499,0.995340,1.062790
rules,soh_loss,0.005652,0.005362,0.005715,0.005900
mpc,methane_total_kg,11195.732134,2955.279256,11728.422841,16876.260266
mpc,curtailment_fraction,0.024381,0.010453,0.023436,0.037182
mpc,downtime_hours,80.250000,60.700000,76.000000,103.200000
mpc,survival_score,0.551118,0.464870,0.568116,0.598899
mpc,availability,0.665625,0.570000,0.683333,0.747083
mpc,min_soc,0.100000,0.100000,0.100000,0.100000
mpc,fault_production_ratio,1.099390,0.982823,1.119180,1.212243
mpc,soh_loss,0.002734,0.002067,0.002632,0.003489
